semi-continental degrade;oceanique;oceanique degrade;mediterraneen;Alpaga;Montego;Aviso;Ptot_25_LOW;Ptot_25_HIGH;Ptot_30_LOW;Ptot_30_HIGH;P300_25_LOW;P300_25_HIGH;P600_25_LOW;P600_25_HIGH;P1000_25_LOW;P1000_25_HIGH;P1000_30_LOW;P1000_30_HIGH;harvest_25_LOW;harvest_25_HIGH;harvest_30_LOW;harvest_30_HIGH;seed_yield_LOW;seed_yield_HIGH;seed_nb_LOW;seed_nb_HIGH;PMG_LOW;PMG_HIGH;lipids_LOW;lipids_HIGH;proteins_LOW;proteins_HIGH
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1
0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;1;0;1;0;1
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;0;1
0;1;0;0;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0
0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0
0;0;1;0;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0
0;0;1;0;0;1;0;0;1;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;0;1;0;1;0;1
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;0;1;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;1;0;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;1;0;1;0
0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0
0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0
0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
0;1;0;0;0;0;1;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0
0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0
0;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;1;0;0;1;1;0
0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;1;0
0;0;0;1;0;1;0;0;1;0;1;0;1;1;0;0;1;1;0;0;1;0;1;1;0;1;0;1;0;0;1;0;1
0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0
0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0
0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0
0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;0;0;1
0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0
0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0
0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;0;0;1;1;0
0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0
0;1;0;0;0;0;1;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0
0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;0
0;1;0;0;0;1;0;0;1;0;1;1;0;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;1;0;1;0
0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0
0;0;1;0;0;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0
0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1
0;0;1;0;0;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1;0;1;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;0;1;1;0
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0;0;1
0;1;0;0;0;0;1;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;0;1
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;0;1;0;1
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0;0;1;1;0
0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0
0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;0;1;1;0
0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0
1;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;0;1
1;0;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;1;1;0
0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0
0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0
0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0
0;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;0;1;0;1;0
0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;1;1;0;0;1
0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0
0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;1;0;1;0
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1
0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0
0;0;1;0;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;1;0
0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;1;0;0;1
0;0;1;0;0;1;0;0;1;0;1;0;1;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;1;0;0;1
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0
0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;0;1;0;0;0;0;0;1;1;0
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;0;1
0;0;1;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0
0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
0;1;0;0;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
0;1;0;0;0;1;0;0;1;1;0;0;1;0;1;1;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0
